disease, location, dateEnd, cases
Chikungunya, Brazil, 2015-04-04, 7251
Chikungunya, Brazil, 2015-04-25, 2151
Chikungunya, Brazil, 2015-05-02, 714
Chikungunya, Brazil, 2015-05-09, 739
Chikungunya, Brazil, 2015-05-23, 1329
Chikungunya, Brazil, 2015-05-30, 611
Chikungunya, Brazil, 2015-06-13, 1110
Chikungunya, Brazil, 2015-07-11, 2707
Chikungunya, Brazil, 2015-09-19, 6412
Chikungunya, Brazil, 2015-12-12, 12655
Chikungunya, Brazil, 2015-12-26, 2558
Chikungunya, Brazil, 2016-01-02, 259
Chikungunya, Brazil, 2016-01-30, 15384
Chikungunya, Brazil, 2016-02-20, 28183
Chikungunya, Brazil, 2016-03-12, 37119
Chikungunya, Brazil, 2016-03-26, 20947
Chikungunya, Brazil, 2016-04-16, 33397
Chikungunya, Brazil, 2016-05-14, 43996
Chikungunya, Brazil, 2016-06-25, 51384
Chikungunya, Brazil, 2016-08-06, 23385
Chikungunya, Brazil, 2016-08-20, 4721
Chikungunya, Brazil, 2016-09-03, 3129
Chikungunya, Brazil, 2016-09-17, 2465
Chikungunya, Brazil, 2016-10-01, 1952
Chikungunya, Brazil, 2016-10-15, 1847
Chikungunya, Brazil, 2016-10-29, 1755
Chikungunya, Brazil, 2016-11-12, 1973
Chikungunya, Brazil, 2016-11-19, 1168
Chikungunya, Brazil, 2016-11-26, 1245
Chikungunya, Brazil, 2016-12-03, 966
Chikungunya, Brazil, 2016-12-10, 952
Chikungunya, Brazil, 2016-12-17, 853
Chikungunya, Brazil, 2016-12-24, 754
Chikungunya, Brazil, 2016-12-31, 307
Chikungunya, Brazil, 2017-01-21, 3999
Chikungunya, Brazil, 2017-02-04, 5137
Chikungunya, Brazil, 2017-02-11, 2935
Chikungunya, Brazil, 2017-02-18, 2983
Chikungunya, Brazil, 2017-02-25, 3247
Chikungunya, Brazil, 2017-03-04, 4364
Chikungunya, Brazil, 2017-03-11, 5287
Chikungunya, Brazil, 2017-03-18, 6631
Chikungunya, Brazil, 2017-03-25, 7412
Chikungunya, Brazil, 2017-04-01, 9240
Chikungunya, Brazil, 2017-04-08, 10205
Chikungunya, Brazil, 2017-04-15, 11074
Chikungunya, Brazil, 2017-04-22, 12418
Chikungunya, Brazil, 2017-04-29, 10729
Chikungunya, Brazil, 2017-05-13, 24382
Chikungunya, Brazil, 2017-05-27, 19122
Chikungunya, Brazil, 2017-06-10, 12476
Chikungunya, Brazil, 2017-06-24, 8059
Chikungunya, Brazil, 2017-07-15, 8089
Chikungunya, Brazil, 2017-07-29, 4168
Chikungunya, Brazil, 2017-08-12, 3013
Chikungunya, Brazil, 2017-08-26, 1961
Chikungunya, Brazil, 2017-09-09, 1118
Chikungunya, Brazil, 2017-09-23, 897
Chikungunya, Brazil, 2017-10-14, 771
Chikungunya, Brazil, 2017-10-21, 241
Chikungunya, Brazil, 2017-10-28, 2186
Chikungunya, Brazil, 2017-11-11, 1305
Chikungunya, Brazil, 2017-11-18, 380
Chikungunya, Brazil, 2017-11-25, 302
Chikungunya, Brazil, 2017-12-02, 417
Chikungunya, Brazil, 2017-12-09, 337
Chikungunya, Brazil, 2017-12-16, 343
Chikungunya, Brazil, 2017-12-23, 258
Chikungunya, Brazil, 2017-12-30, 244
Chikungunya, Brazil, 2018-01-20, 1319
Chikungunya, Brazil, 2018-02-03, 3228
Chikungunya, Brazil, 2018-02-10, 1671
Chikungunya, Brazil, 2018-02-17, 875
Chikungunya, Brazil, 2018-02-24, 2073
Chikungunya, Brazil, 2018-03-03, 2607
Chikungunya, Brazil, 2018-03-10, 2146
Chikungunya, Brazil, 2018-03-17, 2165
Chikungunya, Brazil, 2018-03-24, 2374
Chikungunya, Brazil, 2018-03-31, 1761
Chikungunya, Brazil, 2018-04-07, 3067
Chikungunya, Brazil, 2018-04-14, 2920
Chikungunya, Brazil, 2018-04-21, 3204
Chikungunya, Brazil, 2018-04-28, 2533
Chikungunya, Brazil, 2018-05-12, 4612
Chikungunya, Brazil, 2018-05-26, 7043
Chikungunya, Brazil, 2018-06-09, 3905
Chikungunya, Brazil, 2018-06-23, 5516
Chikungunya, Brazil, 2018-07-07, 1732
Chikungunya, Brazil, 2018-07-28, 1247
Chikungunya, Brazil, 2018-08-04, 1174
Chikungunya, Brazil, 2018-08-18, 1026
Chikungunya, Brazil, 2018-09-08, 691
Chikungunya, Brazil, 2018-09-15, 730
Chikungunya, Brazil, 2018-09-29, 619
Chikungunya, Brazil, 2018-10-06, 696
Chikungunya, Brazil, 2018-10-27, 624
Chikungunya, Brazil, 2018-11-17, 628
Chikungunya, Brazil, 2018-12-01, 706
Chikungunya, Brazil, 2018-12-08, 745
Chikungunya, Brazil, 2018-12-15, 821
Chikungunya, Brazil, 2018-12-29, 335
Chikungunya, Brazil, 2019-01-05, 1286
Chikungunya, Brazil, 2019-01-26, 1403
Chikungunya, Brazil, 2019-02-02, 1329
Chikungunya, Brazil, 2019-02-09, 1556
Chikungunya, Brazil, 2019-02-16, 1595
Chikungunya, Brazil, 2019-03-02, 1447
Chikungunya, Brazil, 2019-03-09, 1711
Chikungunya, Brazil, 2019-03-16, 2690
Chikungunya, Brazil, 2019-03-30, 3519
Chikungunya, Brazil, 2019-04-06, 5062
Chikungunya, Brazil, 2019-04-13, 5214
Chikungunya, Brazil, 2019-04-20, 5854
Chikungunya, Brazil, 2019-04-27, 6118
Chikungunya, Brazil, 2019-05-04, 7511
Chikungunya, Brazil, 2019-05-11, 7925
Chikungunya, Brazil, 2019-06-01, 5899
Chikungunya, Brazil, 2019-06-08, 4698
Chikungunya, Brazil, 2019-06-22, 3610
Chikungunya, Brazil, 2019-06-29, 3423
Chikungunya, Brazil, 2019-07-06, 3913
Chikungunya, Brazil, 2019-07-13, 2862
Chikungunya, Brazil, 2019-07-20, 2337
Chikungunya, Brazil, 2019-07-27, 1624
Chikungunya, Brazil, 2019-08-10, 1062
Chikungunya, Brazil, 2019-08-17, 575
